whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-627-178-N.jpg,"[0.03, 0.03]",0,0,0,0,0,0,0,7,,,,,,,,,22.378305952999654,None,22.378305952999654,None,8,0.15749683799913328,22.378305952999654,None,22.604633728999943,None,1.656312625250501,24.890017302999695,None,24.890017302999695,25.10718714199993,24.890017302999695,25.10718714199993,None,24.890017302999695,None,0,,,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-223-133-N.jpg,"[0.03, 0.03]",0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,,,,1.5110220440881763,26.802378862000296,26.802378862000296,26.802378862000296,27.007271382,26.802378862000296,27.007271382,['1'],26.802378862000296,26.802378862000296,1,[0.7786482569999862],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-AM-235-241-N.jpg,"[0.03, 0.03]",0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,1.8216432865731462,28.52355082200029,28.52355082200029,28.52355082200029,28.721909548999975,28.52355082200029,28.721909548999975,['8'],28.52355082200029,28.52355082200029,1,[0.5892908759997226],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-LM-226-175-N.jpg,"[0.03, 0.03]",0,0,0,0,0,3,3,17,,,,,,,,,,,,,,,,,,,1.6122244488977955,30.576213078000364,30.576213078000364,30.576213078000364,30.790665751999768,30.576213078000364,30.790665751999768,['1'],30.576213078000364,30.576213078000364,1,[0.4907385769993198],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WM-228-065-N.jpg,"[0.03, 0.03]",0,0,0,0,0,4,4,16,,,,,,,,,,,,,,,,,,,1.8537074148296593,32.407046350999735,32.407046350999735,32.407046350999735,32.60904190000019,32.407046350999735,32.60904190000019,['8'],32.407046350999735,32.407046350999735,1,[0.7240613209996809],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-MF-328-020-N.jpg,"[0.03, 0.03]",0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,1.540080160320641,34.49349911399986,34.49349911399986,34.49349911399986,34.70789948299989,34.49349911399986,34.70789948299989,['8'],34.49349911399986,34.49349911399986,1,[0.5264228880005248],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WM-242-011-N.jpg,"[0.03, 0.03]",0,0,0,0,0,6,6,14,,,,,,,,,,,,,,,,,,,1.6352705410821644,36.25850763899962,36.25850763899962,36.25850763899962,36.4577692390003,36.25850763899962,36.4577692390003,['1'],36.25850763899962,36.25850763899962,1,[0.4064226939999571],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-213-188-N.jpg,"[0.03, 0.03]",0,0,0,0,0,7,7,10,,,,,,,,,,,,,,,,,,,1.5080160320641283,38.11693938600001,38.11693938600001,38.11693938600001,38.32206014300027,38.11693938600001,38.32206014300027,['8'],38.11693938600001,38.11693938600001,0,[1.0970476440006678],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-MF-342-022-N.jpg,"[0.03, 0.03]",0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,1.814629258517034,39.84534226699998,39.84534226699998,39.84534226699998,40.05743941600031,39.84534226699998,40.05743941600031,['1'],39.84534226699998,39.84534226699998,1,[0.5616370199995799],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-228-212-N.jpg,"[0.03, 0.03]",0,0,0,0,0,9,9,3,,,,,,,,,,,,,,,,,,,1.6452905811623246,41.885606187999656,41.885606187999656,41.885606187999656,42.09030541199991,41.885606187999656,42.09030541199991,['1'],41.885606187999656,41.885606187999656,1,[0.42321102200003224],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-036-023-N.jpg,"[0.03, 0.03]",0,0,0,0,0,10,10,6,,,,,,,,,,,,,,,,,,,1.6623246492985972,43.749233872999866,43.749233872999866,43.749233872999866,43.95765630599999,43.749233872999866,43.95765630599999,['8'],43.749233872999866,43.749233872999866,1,[0.522832644999653],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-MM-306-010-N.jpg,"[0.03, 0.03]",0,0,0,0,0,11,11,15,,,,,,,,,,,,,,,,,,,1.8296593186372745,45.65397532499992,45.65397532499992,45.65397532499992,45.857553785000164,45.65397532499992,45.857553785000164,['8'],45.65397532499992,45.65397532499992,1,[0.45094876999974076],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-008-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,12,12,19,,,,,,,,,,,,,,,,,,,1.9799599198396793,47.696638684999925,47.696638684999925,47.696638684999925,47.90770748700015,47.696638684999925,47.90770748700015,['8'],47.696638684999925,47.696638684999925,1,[0.5663231460002862],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IF-634-382-N.jpg,"[0.03, 0.03]",0,0,0,0,0,13,13,9,,,,,,,,,,,,,,,,,,,1.625250501002004,49.91918376600006,49.91918376600006,49.91918376600006,50.12219113399988,49.91918376600006,50.12219113399988,['1'],49.91918376600006,49.91918376600006,1,[0.6629833289998714],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-674-281-N.jpg,"[0.03, 0.03]",0,0,0,0,0,14,14,12,,,,,,,,,,,,,,,,,,,1.8557114228456912,51.81833809700038,51.81833809700038,51.81833809700038,52.02376278100019,51.81833809700038,52.02376278100019,['8'],51.81833809700038,51.81833809700038,1,[0.6106220340006985],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-212-315-N.jpg,"[0.03, 0.03]",0,0,0,0,0,15,15,13,,,,,,,,,,,,,,,,,,,1.6322645290581164,53.88796136699966,53.88796136699966,53.88796136699966,54.090778623000006,53.88796136699966,54.090778623000006,['1'],53.88796136699966,53.88796136699966,0,[0.5162030029996458],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-671-601-N.jpg,"[0.03, 0.03]",0,0,0,0,0,16,16,18,,,,,,,,,,,,,,,,,,,1.74749498997996,55.74003168600029,55.74003168600029,55.74003168600029,55.94022716099971,55.74003168600029,55.94022716099971,['8'],55.74003168600029,55.74003168600029,1,[0.8079694349999045],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BM-041-035-N.jpg,"[0.03, 0.03]",0,0,0,0,0,17,17,4,,,,,,,,,,,,,,,,,,,1.8517034068136273,57.70347190400025,57.70347190400025,57.70347190400025,57.90645770900028,57.70347190400025,57.90645770900028,['1'],57.70347190400025,57.70347190400025,1,[0.31139078000069276],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-014-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,18,18,5,,,,,,,,,,,,,,,,,,,1.571142284569138,59.77205688899994,59.77205688899994,59.77205688899994,59.97212731299987,59.77205688899994,59.97212731299987,['8'],59.77205688899994,59.77205688899994,0,[0.49579888399966876],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-AM-243-212-N.jpg,"[0.03, 0.03]",0,0,0,0,0,19,19,11,,,,,,,,,,,,,,,,,,,1.9919839679358717,61.566872837999654,61.566872837999654,61.566872837999654,61.773224513999594,61.566872837999654,61.773224513999594,['8'],61.566872837999654,61.566872837999654,1,[1.5221565370002281],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.58065643400005,None,63.58065643400005,None,8,1.0024428110000372,63.58065643400005,None,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3912483260001,None,1.8997995991983967,,,,,,,,,,,,,,,,,,,,64.64598647799994,None,8,0.7109972609996476,64.64598647799994,None,,,,,,,,
