whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,id,cb,friendly,errorComm,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-039-025-N.jpg,"[0.03, 0.03]",0,0,0,0,0,0,0,12,210.72729149996303,None,210.72729149996303,None,8,0.12196550000226125,210.72729149996303,None,210.90046629996505,None,3.853707414829659,213.15126429998782,None,213.15126429998782,213.35345369996503,213.15126429998782,213.35345369996503,None,213.15126429998782,None,0,999,A,A,A,2022-06-06_18h08.13.051,face_flanker_v1,2022.1.4,59.66822082703445,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-205-141-N.jpg,"[0.03, 0.03]",0,0,0,0,0,1,1,3,,,,,,,,,,,3.6162324649298596,217.18020659999456,217.18020659999456,217.18020659999456,217.3865003999672,217.18020659999456,217.3865003999672,None,217.18020659999456,217.18020659999456,0,999,A,A,A,2022-06-06_18h08.13.051,face_flanker_v1,2022.1.4,59.66822082703445,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-028-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,2,2,8,,,,,,,,,,,3.527054108216433,220.96777079999447,220.96777079999447,220.96777079999447,221.1691267999704,220.96777079999447,221.1691267999704,None,220.96777079999447,220.96777079999447,0,999,A,A,A,2022-06-06_18h08.13.051,face_flanker_v1,2022.1.4,59.66822082703445,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-049-032-N.jpg,"[0.03, 0.03]",0,0,0,0,0,3,3,2,,,,,,,,,,,3.6402805611222444,224.65853239997523,224.65853239997523,224.65853239997523,224.86879629996838,224.65853239997523,224.86879629996838,None,224.65853239997523,224.65853239997523,0,999,A,A,A,2022-06-06_18h08.13.051,face_flanker_v1,2022.1.4,59.66822082703445,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-236-090-N.jpg,"[0.03, 0.03]",0,0,0,0,0,4,4,6,,,,,,,,,,,3.997995991983968,228.48408279998694,228.48408279998694,228.48408279998694,228.6849005999975,228.48408279998694,228.6849005999975,None,228.48408279998694,228.48408279998694,0,999,A,A,A,2022-06-06_18h08.13.051,face_flanker_v1,2022.1.4,59.66822082703445,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MM-303-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,5,5,0,,,,,,,,,,,3.972945891783567,232.63303929998074,232.63303929998074,232.63303929998074,232.83471409999765,232.63303929998074,232.83471409999765,None,232.63303929998074,232.63303929998074,0,999,A,A,A,2022-06-06_18h08.13.051,face_flanker_v1,2022.1.4,59.66822082703445,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-212-097-N.jpg,"[0.03, 0.03]",0,0,0,0,0,6,6,4,,,,,,,,,,,3.5250501002004007,236.76374539994868,236.76374539994868,236.76374539994868,236.96755229996052,236.76374539994868,236.96755229996052,None,236.76374539994868,236.76374539994868,0,999,A,A,A,2022-06-06_18h08.13.051,face_flanker_v1,2022.1.4,59.66822082703445,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BM-020-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,7,7,11,,,,,,,,,,,3.787575150300601,240.449413299968,240.449413299968,240.449413299968,240.65047930000583,240.449413299968,240.65047930000583,None,240.449413299968,240.449413299968,0,999,A,A,A,2022-06-06_18h08.13.051,face_flanker_v1,2022.1.4,59.66822082703445,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-LF-222-147-N.jpg,"[0.03, 0.03]",0,0,0,0,0,8,8,17,,,,,,,,,,,3.5501002004008013,244.41216740000527,244.41216740000527,244.41216740000527,244.61678979999851,244.41216740000527,244.61678979999851,None,244.41216740000527,244.41216740000527,0,999,A,A,A,2022-06-06_18h08.13.051,face_flanker_v1,2022.1.4,59.66822082703445,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-047-003-N.jpg,"[0.03, 0.03]",0,0,0,0,0,9,9,5,,,,,,,,,,,3.979959919839679,248.12759719998576,248.12759719998576,248.12759719998576,248.33307229995262,248.12759719998576,248.33307229995262,None,248.12759719998576,248.12759719998576,0,999,A,A,A,2022-06-06_18h08.13.051,face_flanker_v1,2022.1.4,59.66822082703445,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MM-308-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,10,10,15,,,,,,,,,,,3.5470941883767537,252.27630269998917,252.27630269998917,252.27630269998917,252.48258259997237,252.27630269998917,252.48258259997237,None,252.27630269998917,252.27630269998917,0,999,A,A,A,2022-06-06_18h08.13.051,face_flanker_v1,2022.1.4,59.66822082703445,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.874749498997996,,,,,,,,,,,,,,,,,,,
